NO,NIK,BUSINESS_UNIT,JOB_LEVEL,LOCATION,DEPARTMENT,JOB_POSITION,PK,BEHAVIOR,ADDITIONAL POINT,PERFORMANCE,COMPETENCY,LEARNING POINT
464.0,201590703,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,TECHNICAL ADMNITSTRATION DEPARTMENT,TECHNICAL ADMINISTRATION SENIOR STAFF,1.0,1.0,0.015,1.015,1.1542857142857144,1.0
465.0,201890704,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,TECHNICAL ADMNITSTRATION DEPARTMENT,TECHNICAL ADMINISTRATION SENIOR STAFF,1.0,0.996875,0.01,1.00953125,1.1714285714285715,0.825
466.0,201490706,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,TECHNICAL ADMNITSTRATION DEPARTMENT,TENDER ADMINISTRATION SENIOR STAFF,1.0,0.9885416666666668,0.01,1.00828125,1.1542857142857144,0.9
467.0,198990705,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,TECHNICAL ADMNITSTRATION DEPARTMENT,TENDER CLARIFICATION SENIOR STAFF,1.0,1.0,0.01,1.01,1.1542857142857144,0.85
468.0,201690535,PT. BUMI KARSA,STAFF/OPERATOR,PENGENDALIAN BANJIR KALI BEKASI PAKET 6,EQUIPMENT DEPARTMENT,WORKSHOP ADMINISTRATION SENIOR STAFF,0.971,1.0,0.01,0.98535,1.0,0.0
470.0,201890676,PT. BUMI KARSA,STAFF/OPERATOR,PENGENDALIAN BANJIR KALI BEKASI PAKET 6,PROJECT DEPARTMENT,PELAKSANA,0.98,0.9765625,0.01,0.989484375,1.0057142857142858,1.0
471.0,198290532,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,MECHANIC,0.979,0.9979166666666668,0.0,0.9818374999999999,1.0114285714285716,0.0
472.0,201090496,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,MEKANIK ELEKTRISI,0.974,0.9807291666666668,0.0,0.975009375,1.0285714285714287,0.0
473.0,200890588,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,MEKANIK ELEKTRISI,0.977,0.996875,0.0,0.9799812499999999,1.0,0.0
474.0,201090491,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.97,0.990625,0.0,0.97309375,1.0771428571428574,0.0
475.0,201190519,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.97,1.0,0.0,0.9745,1.0,0.0
476.0,201290537,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.97,1.0,0.0,0.9745,1.0,0.0
477.0,201490551,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.97,0.9989583333333334,0.0,0.9743437500000001,1.0114285714285716,0.0
478.0,201190566,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.97,1.0,0.0,0.9745,1.0,0.8
479.0,198890578,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.97,1.0,0.0,0.9745,1.0,0.0
480.0,201390468,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,PLANT ADMINISTRATION STAFF,0.963,0.9463541666666668,0.01,0.970503125,1.0,0.0
481.0,201390494,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,PLANT CASHIER STAFF,0.85,0.94375,0.01,0.8740625,1.0257142857142858,0.5
482.0,201090509,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.97,0.8734375,0.0,0.955515625,1.0,0.0
483.0,200790511,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.97,0.990625,0.0,0.97309375,1.0,0.0
484.0,200890558,PT. BUMI KARSA,STAFF/OPERATOR,PERALATAN PROYEK BENDUNG BOLANGO,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.97,1.0,0.0,0.9745,1.0,0.0
487.0,199490536,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,MEKANIK ELEKTRISI,0.99,0.9890625,0.0,0.989859375,1.0085714285714287,0.0
488.0,201290523,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.967,1.0,0.0,0.97195,1.0,0.0
489.0,201290467,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.967,1.0,0.0,0.97195,1.0,0.0
490.0,199490507,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.967,1.0,0.0,0.97195,1.0,0.0
491.0,198890521,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.967,1.0,0.0,0.97195,1.0,0.0
492.0,200890556,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.967,0.9979166666666668,0.0,0.9716374999999999,1.002857142857143,0.0
493.0,200990562,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.968,1.0,0.01,0.9828,1.0,0.0
494.0,200890564,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.967,1.0,0.0,0.97195,1.0,0.0
495.0,199090573,PT. BUMI KARSA,STAFF/OPERATOR,PLANT GROGOT,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.967,1.0,0.0,0.97195,1.0,0.0
496.0,199090514,PT. BUMI KARSA,STAFF/OPERATOR,PLANT KAMPIRI,EQUIPMENT DEPARTMENT,MECHANIC,0.957,0.7843749999999999,0.0,0.9311062499999999,1.0,0.0
497.0,198990524,PT. BUMI KARSA,STAFF/OPERATOR,PLANT KAMPIRI,EQUIPMENT DEPARTMENT,MEKANIK ELEKTRISI,0.957,1.0,0.0,0.9634499999999999,1.0,0.0
498.0,201890497,PT. BUMI KARSA,STAFF/OPERATOR,PLANT KAMPIRI,EQUIPMENT DEPARTMENT,MEKANIK LAS,0.957,0.8125000000000001,0.0,0.935325,1.102857142857143,0.0
499.0,200890492,PT. BUMI KARSA,STAFF/OPERATOR,PLANT KAMPIRI,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.957,0.803125,0.0,0.9339187499999999,1.0,0.0
500.0,199190591,PT. BUMI KARSA,STAFF/OPERATOR,PLANT KAMPIRI,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,1.0,0.0,0.949,1.0,0.0
501.0,200890489,PT. BUMI KARSA,STAFF/OPERATOR,PLANT MAROS-BONE(CAMBA),EQUIPMENT DEPARTMENT,AKUNTANSI PROYEK STAFF,0.95,1.0,0.01,0.9675,1.0,1.0
502.0,199590479,PT. BUMI KARSA,STAFF/OPERATOR,PLANT MAROS-BONE(CAMBA),EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.96,0.9182291666666668,0.0,0.9537343749999999,1.0885714285714287,0.0
503.0,198290485,PT. BUMI KARSA,STAFF/OPERATOR,PLANT MAROS-BONE(CAMBA),EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.96,0.9578125,0.0,0.959671875,1.0771428571428574,0.0
504.0,199090587,PT. BUMI KARSA,STAFF/OPERATOR,PLANT MAROS-BONE(CAMBA),EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.96,0.9692708333333334,0.0,0.9613906249999999,1.0885714285714287,0.0
505.0,201290498,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,MECHANIC,0.952,1.0,0.0,0.9591999999999999,1.0,0.0
506.0,201390477,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,MEKANIK LAS,0.952,1.0,0.0,0.9591999999999999,1.0,0.0
507.0,199990525,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.97,0.9875,0.0,0.9726250000000001,1.0,0.0
508.0,199490554,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.942,1.0,0.0,0.9507,1.0,0.0
509.0,200990576,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.968,1.0,0.0,0.9728,1.1542857142857144,0.0
510.0,199890582,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.97,1.0,0.0,0.9745,1.022857142857143,0.0
511.0,199190586,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.971,1.0,0.0,0.9753499999999999,1.0,0.0
512.0,201590486,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,PLANT ADMINISTRATION STAFF,0.933,1.0,0.01,0.9530500000000001,1.0,0.0
513.0,201190480,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.981,1.0,0.0,0.98385,1.0,0.0
514.0,201190481,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.967,1.0,0.0,0.97195,1.0,0.0
515.0,200890495,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.97,1.0,0.0,0.9745,1.0,0.0
516.0,200890504,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.942,1.0,0.0,0.9507,1.0,0.0
517.0,201290530,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.97,1.0,0.0,0.9745,1.0,0.0
518.0,201490560,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.97,1.0,0.0,0.9745,1.0,0.0
519.0,200890577,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.963,1.0,0.0,0.96855,1.0,0.0
520.0,201090581,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PAPUA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.964,1.0,0.0,0.9693999999999999,1.0,0.0
521.0,201390472,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,MEKANIK ELEKTRISI,0.94,1.0,0.02,0.969,1.0,0.0
522.0,198190476,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.94,1.0,0.0,0.949,1.0,0.0
523.0,198990499,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.94,1.0,0.0,0.949,1.0,0.0
524.0,201290508,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.94,0.9859375,0.0,0.946890625,1.0,0.0
525.0,199190526,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.942,1.0,0.0,0.9507,1.0,0.0
526.0,199190531,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.94,0.996875,0.0,0.9485312499999999,1.0,0.0
527.0,200890548,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.94,1.0,0.0,0.949,1.0,0.0
528.0,198790589,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.944,1.0,0.0,0.9523999999999999,1.0,0.0
529.0,198890592,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.942,1.0,0.0,0.9507,1.0,0.0
530.0,198990567,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,PLANT ADMINISTRATION STAFF,0.94,1.0,0.0,0.949,1.0,0.0
531.0,201590529,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,PLANT OPERATION SENIOR STAFF,0.976,1.0,0.0,0.9796,1.0,0.0
532.0,198690493,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,PLANT WAREHOUSING STAFF,0.971,0.98125,0.01,0.9825375,1.0,0.0
533.0,199090483,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,0.990625,0.0,0.9475937499999999,1.0,0.0
535.0,201290515,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,1.0,0.0,0.949,1.0,0.0
536.0,199490544,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,1.0,0.0,0.949,1.0,0.0
537.0,199090547,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,1.0,0.0,0.949,1.0,0.0
538.0,198290553,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,1.0,0.0,0.949,1.0,0.0
539.0,199090568,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,1.0,0.0,0.949,1.0,0.0
540.0,198590583,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.944,1.0,0.0,0.9523999999999999,1.0,0.0
541.0,198790585,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,0.990625,0.0,0.9475937499999999,1.0,0.0
542.0,198090590,PT. BUMI KARSA,STAFF/OPERATOR,PLANT PINRANG,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.94,1.0,0.0,0.949,1.0,0.0
544.0,199090542,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,MEKANIK LAS,0.96,1.0,0.01,0.976,1.0,0.0
545.0,197990500,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.96,0.9880208333333332,0.0,0.9642031249999999,1.0,0.0
546.0,201490571,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.96,0.915625,0.0,0.9533437499999999,1.102857142857143,0.0
547.0,201390580,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.96,0.8864583333333333,0.0,0.9489687499999999,1.082857142857143,0.0
548.0,201190584,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.96,0.7119791666666666,0.0,0.922796875,1.0,0.0
549.0,201190593,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.956,0.8921875,0.0,0.946428125,1.1285714285714286,0.0
550.0,201590502,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,PLANT ADMINISTRATION STAFF,0.95,0.8807291666666666,0.0,0.939609375,1.082857142857143,0.0
551.0,200990466,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.96,0.996875,0.0,0.96553125,1.0,0.0
552.0,201690473,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.96,0.9953125,0.0,0.9652968749999999,1.0,0.0
553.0,200890482,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.96,0.6859375,0.0,0.918890625,1.0,0.0
554.0,201390510,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.96,0.7427083333333334,0.0,0.92740625,1.0,0.0
555.0,200990539,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.96,0.9880208333333332,0.0,0.9642031249999999,1.0057142857142858,0.0
556.0,201190550,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.96,0.8843749999999999,0.0,0.94865625,1.0257142857142858,0.0
557.0,201190574,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SAMBERA,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.96,0.7932291666666667,0.0,0.934984375,1.0,0.0
558.0,199290474,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SINJAI-WATAMPONE,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.935,0.9770833333333332,0.0,0.9413125,0.9971428571428571,0.0
559.0,199190552,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SINJAI-WATAMPONE,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.948,0.9645833333333332,0.0,0.9504874999999999,0.9971428571428571,0.0
560.0,197990501,PT. BUMI KARSA,STAFF/OPERATOR,PLANT SINJAI-WATAMPONE,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.948,0.9588541666666668,0.01,0.9596281249999999,0.9971428571428571,0.0
561.0,201790640,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BATANG ASAI,PROJECT DEPARTMENT,AKUNTANSI STAFF,0.878,1.0,0.01,0.9063,1.0,0.3
562.0,201590649,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BATANG ASAI,PROJECT DEPARTMENT,PELAKSANA,0.867,1.0,0.01,0.89695,1.0,0.5
563.0,199090668,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BATANG ASAI,PROJECT DEPARTMENT,PELAKSANA,0.904,1.0,0.01,0.9284,1.0,0.475
564.0,201390681,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BATANG ASAI,PROJECT DEPARTMENT,QUANTITY,0.942,0.978125,0.02,0.96741875,1.1542857142857144,0.6
565.0,201290641,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BATANG ASAI,PROJECT DEPARTMENT,SURVEYOR,0.943,0.99375,0.0,0.9506125,1.1628571428571428,0.3
566.0,201190642,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BENDUNG BUDONG BUDONG MAMUJU,PROJECT DEPARTMENT,AKUNTANSI STAFF,0.914,0.990625,0.02,0.94549375,1.137142857142857,0.45
567.0,201490666,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BENDUNG BUDONG BUDONG MAMUJU,PROJECT DEPARTMENT,ESTIMATOR STAFF,1.0,1.0,0.01,1.01,1.1542857142857144,0.925
568.0,201590655,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BENDUNGAN LAU SIMEME MEDAN,PROJECT DEPARTMENT,AKUNTANSI STAFF,0.961,0.7354166666666667,0.01,0.9371625,1.0,0.575
569.0,201590679,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BENDUNGAN LAU SIMEME MEDAN,PROJECT DEPARTMENT,PELAKSANA UTAMA,0.936,0.7802083333333334,0.015,0.92763125,1.002857142857143,0.6
570.0,201790656,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK BENDUNGAN LAU SIMEME MEDAN,PROJECT DEPARTMENT,QUANTITY,0.906,0.753125,0.03,0.9130687500000001,1.0114285714285716,0.675
571.0,199490607,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK HOTMIX MALLAWA,GENERAL AFFAIR DEPARTMENT,GENERAL AFFAIR SENIOR STAFF,0.964,0.8223958333333334,0.01,0.952759375,1.042857142857143,1.0
572.0,201490677,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI BALIASE KIRI LUWU UTARA,PROJECT DEPARTMENT,KASIR,0.994,0.7765625,0.01,0.971384375,0.9485714285714285,1.0
573.0,201690665,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI BALIASE KIRI LUWU UTARA,PROJECT DEPARTMENT,SURVEYOR,0.995,0.821875,0.0,0.96903125,0.9485714285714285,1.0
574.0,201790644,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS004,PROJECT DEPARTMENT,AKUNTANSI STAFF,0.93,0.8010416666666668,0.03,0.94065625,1.102857142857143,0.35
575.0,201790639,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS004,PROJECT DEPARTMENT,PJS. KABAG TEKNIK,0.95,1.0,0.03,0.9875,1.0,0.5
576.0,201490645,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS004,PROJECT DEPARTMENT,QUALITY CONTROL,0.93,0.9947916666666669,0.02,0.95971875,1.0,0.5
577.0,202191027,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS004,PROJECT DEPARTMENT,QUANTITY,1.0,0.9885416666666668,0.025,1.02328125,1.0514285714285716,1.0
578.0,202191025,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS004,PROJECT DEPARTMENT,QUANTITY,0.95,0.99375,0.01,0.9665625,1.0,0.0
579.0,202191035,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS004,PROJECT DEPARTMENT,TEKNIK PROYEK STAFF,0.9,1.0,0.0,0.915,1.0171428571428571,0.0
580.0,201790688,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS008,PROJECT DEPARTMENT,PELAKSANA,0.949,0.6848958333333334,0.01,0.919384375,0.96,0.8
581.0,201890678,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS008,PROJECT DEPARTMENT,QUANTITY SURVEYOR,0.9525,0.9875,0.01,0.9677500000000001,1.0057142857142858,0.95
582.0,202191034,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK IRIGASI RENTANG LS008,PROJECT DEPARTMENT,TEKNIK PROYEK STAFF,0.966,0.9822916666666668,0.0,0.9684437499999999,1.002857142857143,0.0
583.0,202191028,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK JALAN JEMBATAN BANGKAE-PAREPARE-PINRANG,PROJECT DEPARTMENT,AKUNTANSI PROYEK STAFF,0.976,0.8875,0.0,0.962725,1.0257142857142858,0.575
584.0,201790657,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK JALAN MAJENE-POLEWALI,PROJECT DEPARTMENT,AKUNTANSI PROYEK STAFF,0.9747,1.0,0.01,0.988495,1.1542857142857144,1.0
586.0,201590667,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK JALAN MAJENE-POLEWALI,PROJECT DEPARTMENT,QUALITY CONTROL,0.933,1.0,0.01,0.9530500000000001,1.0,0.65
587.0,201790647,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK JALAN YETTI MAMBERAMO,PROJECT DEPARTMENT,AKUNTANSI STAFF,0.958,1.0,0.01,0.9742999999999999,1.0,1.0
588.0,199390637,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK JALAN YETTI MAMBERAMO,PROJECT DEPARTMENT,PELAKSANA ASPAL,0.958,1.0,0.01,0.9742999999999999,1.102857142857143,0.85
589.0,201690638,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK JALAN YETTI MAMBERAMO,PROJECT DEPARTMENT,QUALITY CONTROL,0.965,1.0,0.02,0.99025,1.1542857142857144,0.65
590.0,201890646,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK JALAN YETTI MAMBERAMO,PROJECT DEPARTMENT,QUANTITY,0.968,0.9854166666666668,0.01,0.9806125,1.16,1.0
591.0,201890671,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK JALAN YETTI MAMBERAMO,PROJECT DEPARTMENT,SURVEYOR,0.965,1.0,0.01,0.98025,1.1542857142857144,1.0
592.0,201100545,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK PEMBANGUNAN BENDUNGAN BOLANGO ULU,PROJECT DEPARTMENT,ADMIN TEKNIK,0.91,0.9010416666666666,0.005,0.91365625,1.0,0.8
593.0,202191047,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK PEMBANGUNAN BENDUNGAN BOLANGO ULU,PROJECT DEPARTMENT,DRAFTER,0.963,0.9625,0.0,0.962925,1.1542857142857144,1.0
594.0,201490663,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK PEMBANGUNAN BENDUNGAN BOLANGO ULU,PROJECT DEPARTMENT,QUANTITY,0.882,1.0,0.01,0.9097000000000001,1.0,0.45
595.0,201890684,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK PEMBANGUNAN BENDUNGAN BOLANGO ULU,PROJECT DEPARTMENT,QUANTITY,0.912,0.75,0.01,0.8976999999999999,1.0057142857142858,0.85
596.0,200890690,PT. BUMI KARSA,STAFF/OPERATOR,PROYEK PEMBANGUNAN BENDUNGAN BOLANGO ULU,PROJECT DEPARTMENT,SURVEYOR,0.975,1.0,0.01,0.98875,1.0,0.5
